titulo,autores,generos,serie,sinopsis,url_libro,categoria_origen,fecha_extraccion
Koljós,Emmanuel Carrère,"Ensayo, Memorias, Novela, Realista",,"Un libro total, una construcción narrativa deslumbrante, donde confluyen la historia de una familia y la historia de los siglos XX y XXI . Koljós es el libro más íntimo de Emmanuel Carrère: un apasionante relato familiar que arranca con el funeral de Estado de su madre, Hélène Carrère d’Encausse, figura mayor de la vida intelectual francesa, primera mujer al frente de la Academia y reconocida autoridad en el estudio de la historia rusa. Su muerte en 2023 impulsará al autor a revisar una colección de archivos, cartas y fotografías que su padre había recopilado a lo largo de su vida, y que constituyen el punto de partida de esta investigación: una genealogía, profundamente entrelazada con algunos de los grandes conflictos del siglo XX, que va de Tiflis a París, de la Rusia prerrevolucionaria a la Ucrania actual. Carrère reconstruye así el recorrido de sus bisabuelos, los Zurabishvili, burgueses ilustrados que se exiliaron de Georgia tras la Revolución bolchevique; al errático abuelo Georges, marcado por la pobreza, el derrotismo y una colaboración con los ocupantes alemanes nunca del todo esclarecida; y, sobre todo, la ascensión imparable de Hélène, brillante, severa, rigurosa y a menudo impenetrable; personalidad legendaria y polémica cuyo legado y complejidad condicionan a quienes la rodean. También redescubre la discreta figura de su padre, Louis, un personaje apacible y humilde siempre a la sombra de Hélène, que ofrece un contrapunto afectivo a la austeridad materna. La nueva novela de Emmanuel Carrère, ganadora del Premio Médicis y del Premio Grand Continent en 2025, se mueve entre la historia familiar y la historia con mayúsculas y ofrece un retrato preciso de la Europa del pasado y presente siglo. Pero, sobre todo, es una confrontación con la memoria de la figura materna vista con la habitual mezcla de exactitud, empatía y lucidez del autor. Una confrontación que revela las aristas públicas y privadas de Hélène Carrère, pero también el profundo amor y reconocimiento de su hijo por todo lo que le debe. ----------------------------- Reseñas: «Carrère ha escrito un libro muy hermoso de amor hacia su madre, Hélène, poderosa y benevolente. Dieciocho años después de las turbulencias de Una novela rusa, que los habían distanciado, Koljós es un relato familiar y de duelo apaciguado» (Patrick Grainville, Le Figaro ). «Magistral. Es la obra de un narrador virtuoso en la cúspide de su arte, que sabe divagar y disertar con una naturalidad magnética para dar a su relato la apariencia de una sinfonía cuyos diferentes movimientos se responden, se complementan y se prolongan» (Grégoire Leménager, Le Nouvel Obs ). «Un libro donde el pasado convive con el presente, donde se habla de amor y de guerra, donde se entrelazan la vida y la muerte… y cuya grandeza se viste de limpidez, simplicidad y humanidad» (Nathalie Crom, Télérama ). «Está escrito con esa prosa hipnótica que le ha valido a este excepcional narrador convertirse en el faro de las letras francesas. Un arte inimitable para hablar de uno mismo hablando de los demás, para pretender que no hace literatura cuando a veces parece que es tinta, más que sangre, lo que corre por sus venas» (Éric Naulleau, Le Journal du Dimanche ).",https://ww3.lectulandia.com/book/koljos/,Realismo,2026-09-05
Marcelino: decires de un hombre,Bibiana Collado Cabrera,"Novela, Realista",,"Un hombre mayor. Un hombre mayor, de campo. Un hombre mayor, de campo, hablándonos de sexo. Un hombre mayor, de campo, hablándonos de sexo y reflexionando sobre las dificultades de ser hombre. Un hombre que siente la extrañeza del lenguaje, que no alcanza a decir lo que quiere decir, que apenas logra señalar lo que duele. Marcelino es su relato, cuajado de miedo y de amor. A su alrededor, la brutalidad y la dulzura se abren paso entre cuerpos que gimen, que paren, que lloran a sus muertos, que se alejan lentamente del campo… Bibiana Collado Cabrera elige en esta novela a un protagonista con un lenguaje y un imaginario de la tierra, en un gesto tierno y provocador.",https://ww3.lectulandia.com/book/marcelino-decires-de-un-hombre/,Realismo,2026-09-05
Madonna no nació en Wisconsin,Natalia Moreno,"Novela, Realista",,"Esta es la historia de una mujer que recuerda su pasado para poder tener presente. De una niña que cambia su nombre para mover el mundo un milímetro a su favor y seguir viva. De un pueblo de los noventa lleno de cabras y silencios que gritan, un frontón en el que meterse mano, un cine de verano con sillas de casa, un bocata de sardinas, una abuela sola contra el mundo, una prima con walkman , j’haybers y olor a aftersun . Y, sobre todo, es la historia de alguien que solo tiene una bicicleta para poder escapar de semejante estercolero. Una voz de reconciliación, de memoria, de reinvención y de ese empeño casi terco en querer quedarse en este tremendo planeta que se cae a cachos pero que, por raro que parezca, sigue siendo nuestra casa.",https://ww3.lectulandia.com/book/madonna-no-nacio-en-wisconsin/,Realismo,2026-09-05
Mi querida Irene,Clara Fuertes,"Drama, Histórico, Novela, Realista",,"Mi querida Irène es una novela que habla de la memoria de las mujeres. Habla del amor. Y cuenta lo más triste, el último adiós. Es un viaje al pasado, a la Segunda Guerra Mundial, a Francia, al corazón de la escritora Irène Némirovsky . Imagino una maleta orgullosa, de cuero marrón, algo envejecida por el tiempo, en un rincón cualquiera de una casa de campo. Una maleta que todavía no sabe que deberá aguardar callada muchos años para desvelar su propia verdad. Imagino los nervios, los meses envenenados en negro, la rutina de un hogar alterado por la guerra. La cotidianidad interrumpida a base de golpes sobre la puerta de la entrada: Uno, dos, tres, cuatro, imposible contar cuantos. Imagino, la imagino. A ella, a Irène Némirovsky. Lleva el cabello desordenado en un moño bajo mal hecho; sus manos están manchadas de tinta, su ropa también. Entre los brazos sujeta un cuaderno escrito con letra minúscula que cuenta un relato muy grande. La imagino de nuevo, un momento después, agotada, estrujada en un tren de ganado, despojada de sus rizos, de su humanidad, de su autoría, de su obra, de todo lo que era hasta entonces. Y antes, no mucho antes, en un pasado cercano, la imagino en París, recorriendo sus calles, con esa mirada juvenil y radiante, confiada, también algo miope, una mirada que estaba por descubrir un mundo de letras inmenso. Un don. Mi querida Irène, es de noche y te escribo sentada junto a la ventana. Eres un final abierto. Un final sin eternidades. Un final ya escrito. Recuperarte ha sido un regalo, ficción histórica, supervivencia, como si la inocencia volviera a latir en el corazón de todos los hombres. Dicen que se ha escrito mucho sobre la Segunda Guerra Mundial, sobre el Holocausto, la gran tragedia judía, y yo digo: ¡nunca será suficiente! Sus historias son grandes. Hechos reales. No engañan con emociones falsas. Son biografías. Sabemos cómo acaban y, sin embargo, las escuchamos como si no lo supiéramos. Ahí radica su misterio y la magia. Poner un tú, un nombre propio, Irène, y después sentir el yo. Sentir que estás en familia, en casa.",https://ww3.lectulandia.com/book/mi-querida-irene/,Realismo,2026-09-05
Primer amor y otros pesares,Harold Brodkey,"Novela, Realista",,"Cuando apareció Primer amor y otros pesares tuvo una extraordinaria acogida crítica. Así, John Cheever escribió: «Harold Brodkey me hace sentir constantemente que es un escritor de primera magnitud», mientras que Nancy Hale afirmó que Brodkey y Salinger eran las «más extraordinarias figuras literarias» de la joven generación. El libro es un vívido y espléndido retrato, en nueve relatos, de una cierta juventud norteamericana en los años cincuenta, con sus parties , sus colleges y sus viajes a Europa: culta, rica y convencional, pero también desasosegada y desconcertada. Una educación sentimental de una penetración y un encanto extraordinarios. Después de este libro, Brodkey empezó a trabajar en una mítica novela, que el autor aún no ha decidido dar a la imprenta, pero de la que reputados críticos y novelistas que han tenido acceso al manuscrito consideran como la Gran Novela Americana de nuestro tiempo. Entretanto, el lector puede saborear este libro de relatos: William Maxwell, su editor en el New Yorker treinta años antes, recuerda: «Me parecieron brillantísimos, nadie escribía como él», mientras que Susan Sontag afirma: «Leo cada palabra que Harold Brodkey escribe».",https://ww3.lectulandia.com/book/primer-amor-y-otros-pesares/,Realismo,2026-09-05
La isla del árbol perdido,Elif Shafak,"Novela, Realista",,"En un convulso 1974, mientras el ejército turco ocupa el norte de Chipre, Kostas, un griego cristiano, y Defne, una turca musulmana, se reúnen en secreto bajo las vigas ennegrecidas de la taberna La Higuera Feliz, donde cuelgan ristras de ajos, cebollas y pimientos. Allí, lejos del fragor de la guerra, crece a través de una cavidad en el techo una higuera, testigo del amor de los dos jóvenes, pero también de sus desencuentros, del estallido del conflicto, la destrucción de Nicosia y la trágica separación de los dos amantes. Décadas más tarde, en el norte de Londres, Ada Kazantzakis acaba de perder a su madre. A sus dieciséis años, nunca ha visitado la isla en la que nacieron sus padres y está desesperada por desenredar años de secretos, división y silencio. La única conexión que tiene con la tierra de sus antepasados es un Ficus carica que crece en el jardín de su casa. La isla del árbol perdido es una historia llena de magia sobre la pertenencia y la identidad, el amor y el dolor, y la asombrosa capacidad de renovación a través de la memoria.",https://ww3.lectulandia.com/book/la-isla-del-arbol-perdido/,Realismo,2026-09-05
Su turno,Alberto Laiseca,"Novela, Realista, Sátira",,"Un megalómano y un persecutor delirante, con aires de General Pathon; además, el cuidador de la morgue que llama cariñosamente a sus cadáveres «mis niños»; italianos en un país que desconocen, acechados por las tragedias mismas y la lucha por conseguir la «monarquía» absoluta en ese también llamado reino de los gánsteres. Por eso tal vez al abrir un libro como Su turno para morir, el lector no puede especular con el humor, la ferocidad y el ruido sollozante de las ametralladoras.",https://ww3.lectulandia.com/book/su-turno/,Realismo,2026-09-05
El ingenuo salvaje,David Storey,"Drama, Novela, Realista",,"Arthur Machin es hijo de un simple minero y no espera salir de la ciudad industrial inglesa en la que nació, un agujero de frustración y aburrimiento, pero su vida cambia cuando el equipo local de rugby lo ficha para la Liga Nacional. De la noche a la mañana, todo el mundo conoce su nombre y se codea con los hombres más poderosos de la zona. Sin embargo, Arthur no tarda en darse cuenta de que la popularidad no implica necesariamente la felicidad. Mientras va incomodando cada vez más a las clases altas, que no suelen admitir a nadie de origen humilde en sus selectos círculos, Machin trata de hallar cariño en la señora Hammond, su casera, y demostrarse a sí mismo que es algo más que una marioneta de la sociedad, incapaz de hacer nada salvo regodearse en su propia fama.",https://ww3.lectulandia.com/book/el-ingenuo-salvaje/,Realismo,2026-09-05
Natasha,David Bezmozgis,"Realista, Relato",,"Los relatos que componen este volumen nos presentan a la familia Bermans, un matrimonio judío y su hijo, que han dejado atrás su Rusia natal para empezar una vida en Toronto, la ciudad de sus sueños. Sus primeras experiencias con la nueva lengua, las nacientes posibilidades de negocio o el brote del sentimiento amoroso y sexual del menor son algunas de las historias en las que los Bermans viven el conflicto de la identidad, la religión y la cultura y que captan la experiencia del inmigrante con ingenio y hondura. El manejo de la ironía, la atinada evocación de la juventud, y la magnífica representación de la batalla por encontrar su lugar de esta apasionada familia ha convertido estos relatos en todo un acontecimiento para un autor que debuta en la literatura.",https://ww3.lectulandia.com/book/natasha-david-bezmozgis/,Realismo,2026-09-05
De mujeres con hombres,Richard Ford,"Realista, Relato",,"Un ejecutivo de la industria papelera viaja a París por motivos laborales y allí conoce a una mujer divorciada y con un hijo; atrapado entre la esposa que le espera en Chicago y su amante parisina, intenta ordenar su vida y evitar meterse en un callejón sin salida. Un muchacho de diecisiete años que vive con su padre en un pueblo de Montana recibe la visita de su tía, que lo va a llevar a Seattle para vivir con su madre; durante el viaje son testigos de un asesinato. Un profesor universitario al que acaban de traducir su primera novela al francés viaja a París con su amante, y allí intenta localizar a su traductora y evitar a unos insoportables amigos americanos que viven en la ciudad, mientras en la soledad de la habitación del hotel su antigua alumna y ahora amante, que ha sufrido un cáncer, piensa en suicidarse... Tres relatos largos, a caballo entre Estados Unidos y Europa, protagonizados por hombres que viajan, mantienen complicadas relaciones con el sexo opuesto y tratan de dar sentido a sus vidas. Este libro sobre la búsqueda del amor y las incertidumbres de la pasión es una nueva demostración del sólido talento narrativo de Richard Ford que, después de su galardonada y aplaudida novela 'El Día de la Independencia', regresa al formato breve con tres narraciones excepcionales.",https://ww3.lectulandia.com/book/de-mujeres-con-hombres/,Realismo,2026-09-05
